"Berlin, Albrechtshof Bhf","13.128483","52.549524",,"Treppe",,"not-barrier-free",,,,,,,,
"Berlin, Charlottenburg Bhf","13.302561","52.504173","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"Berlin, Staaken Bhf","13.14157","52.537699","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Adlershof (Berlin)","13.541316","52.434891",,"Treppe",,"not-barrier-free",,,,,,,,
"S Ahrensfelde Bhf (Berlin)","13.565734","52.571257","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Altglienicke (Berlin)","13.558432","52.407065",,"Treppe",,"not-barrier-free",,,,,,,,
"S Alt-Reinickendorf (Berlin)","13.350709","52.577885",,"Treppe",,"not-barrier-free",,,,,,,,
"S Anhalter Bahnhof (Berlin)","13.360917","52.503456","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Attilastr. (Berlin)","13.360917","52.447745",,"Treppe",,"not-barrier-free",,,,,,,,
"S Baumschulenweg (Berlin)","13.490959","52.466745",,"Treppe",,"not-barrier-free",,,,,,,,
"S Bellevue (Berlin)","13.34815","52.519992","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Berlin Hauptbahnhof","13.366676","52.52492","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Betriebsbahnhof Rummelsburg (Berlin)","13.497867","52.493817","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Betriebsbahnhof Schöneweide (Berlin)","13.524343","52.446514",,"Treppe",,"not-barrier-free",,,,,,,,
"S Beusselstr. (Berlin)","13.329446","52.534407","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Biesdorf (Berlin)","13.556193","52.513031","teilweise Zugang ohne Stufen","Rampe","nur in Richtung Lichtenberg","partially-barrier-free",,,,,,,,
"S Blankenburg (Berlin)","13.442961","52.591059","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Bornholmer Str. (Berlin)","13.397838","52.555023","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Botanischer Garten (Berlin)","13.30705","52.447918","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Buch (Berlin)","13.491424","52.635723","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Buckower Chaussee (Berlin)","13.382822","52.410293","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Charlottenburg (Berlin)","13.303617","52.504907","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Eichborndamm (Berlin)","13.316609","52.577632",,"Treppe",,"not-barrier-free",,,,,,,,
"S Feuerbachstr. (Berlin)","13.332404","52.463569","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Friedenau (Berlin)","13.34175","52.470922","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Friedrichsfelde Ost (Berlin)","13.520066","52.514089","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
