lat	lon	title	description	icon	iconSize	iconOffset
60.1580322	-1.1548348		wheelchair node	/images/barrier-free.png	28,34	-8,-8
56.5894901	-2.5223100		wheelchair node	/images/barrier-free.png	28,34	-8,-8
55.9390247	-3.2265845		wheelchair node	/images/barrier-free.png	28,34	-8,-8
54.1468883	-2.4700084		wheelchair node	/images/barrier-free.png	28,34	-8,-8
54.2492587	-0.7756528		wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.8355827	-1.7956339		wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.8355351	-1.7952355		wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.8356007	-1.7948691	Saltaire Roundabout	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.8362667	-1.7897773		wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.8026909	-1.5239500	Beckett Street / Accommodation Road	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7260933	-1.7776156		wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7262400	-1.7773815		wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7131460	-1.6899113	Bradford Road / Valley Road	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7110721	-1.6874257	Bradford Road / Leeds Road	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7095049	-1.6838085	Flush / Vernon Road	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7106030	-1.6872006	Bradford Road / Huddersfield Road	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7265804	-1.6537315	Brookroyd Lane / Bradford Road	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7184539	-1.6435596	Cross Bank Road / Centenary Way	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7216076	-1.6448975	Bradford Road / Pearl Street	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.7090683	-1.6630616	High Street / Lobley Street	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.6828052	-1.6973843	Water Royd Lane / Water Royd Crescent	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.6763652	-1.6707588	Huddersfield Road / Ravensthorpe	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.6797871	-1.6576032	Huddersfield Road / Crawshaw Street	wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.6783464	-1.5294497		wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.0444057	-2.9942457		wheelchair node	/images/barrier-free.png	28,34	-8,-8
53.3478140	-1.6896482		wheelchair node	/images/barrier-free.png	28,34	-8,-8
51.5254699	-0.0881341	Old Street - Exit 6	wheelchair node	/images/barrier-free.png	28,34	-8,-8
51.5260481	-0.0877765	Old Street - Exit 8	wheelchair node	/images/barrier-free.png	28,34	-8,-8
51.5258346	-0.0869023	Old Street - Exit 2	wheelchair node	/images/barrier-free.png	28,34	-8,-8
51.5252683	-0.0873467	Old Street - Exit 4	wheelchair node	/images/barrier-free.png	28,34	-8,-8
51.5057723	-0.0864773		wheelchair node	/images/barrier-free.png	28,34	-8,-8
51.5044269	-0.0871016		wheelchair node	/images/barrier-free.png	28,34	-8,-8
51.4780684	-0.0249500		wheelchair node	/images/barrier-free.png	28,34	-8,-8
51.0052153	-0.9365856		wheelchair node	/images/barrier-free.png	28,34	-8,-8
38.7496254	-121.2862135	Roseville	wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.8078352	-122.4109877		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.8073828	-122.4142978		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.8068409	-122.4062424		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.8068952	-122.4061910		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.8049760	-122.4030581		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.8006603	-122.3989800		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7989716	-122.3974952		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7964012	-122.3952292		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7939442	-122.3937118		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7936255	-122.3959949		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7935441	-122.3958146		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7939035	-122.3957202		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7879001	-122.4032530		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7884698	-122.4023003		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7909147	-122.3992085		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7904218	-122.3895486		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7874083	-122.4036077		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7843491	-122.3880785	Brannan & The Embarcadero Muni	wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7795192	-122.3899410	2nd & King Muni	wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7762321	-122.3941689	King and 4th Muni	wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7762109	-122.3938729	4th & King Muni	wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.7649400	-122.4200277		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.8735795	-122.2825217		wheelchair node	/images/barrier-free.png	28,34	-8,-8
37.8704224	-122.2682693		wheelchair node	/images/barrier-free.png	28,34	-8,-8
36.9843568	-122.0394165	Friendship Garden	wheelchair node	/images/barrier-free.png	28,34	-8,-8
